
is_city = yes

owner = A76
controller = A76
add_core = A76

base_tax = 1
base_production = 1
base_manpower = 1

culture = culture_frost_troll
religion = voodoo

hre = no
trade_goods = fur


598.1.1 = { 
    remove_core = A76
    owner = A40
    controller = A40
    add_core = A40
    culture = culture_orc 
    religion = fel 
}

# Beyond the Dark Portal
600.1.1 = { 
    owner = MGR
    controller = MGR
    add_core = MGR
    remove_core = A40
    culture = culture_twilight_cultist 
 
}

# Cataclysm
631.1.1 = { 
    owner = A43
    controller = A43
    add_core = A43
    religion = twilight_cult 
}

