#### Bookmark Setups ####
# Rise of the Horde
#	546 King's Calender
# First War
#	592 KC
# Fall of Stormwind
#	597 KC
# Second War
#	598 KC
# Beyond the Dark Portal
#	600 KC
# The Alliance Splinters
#	605 KC
# Third War
#	617 KC
# Rise of the Qiraji
#	622 KC
# The Burning Crusade
#	625 CK
# Wrath of the Lich King
#	626 KC
# Cataclysm
# 	631 KC
# Mists of Pandaria
#	632 KC
# Warlords of Draenor
#	633 KC
# Legion
#	635 KC

# Special countries..
REB = "countries/Rebels.txt"
PIR = "countries/Pirates.txt"
NAT = "countries/Natives.txt"

# Human
STW = "countries/Stormwind.txt"			        # STW - A01
WST = "countries/Westfall.txt"                  # WST - A02
DKS = "countries/Darkshire.txt"                 # DKS - A03
RRG = "countries/Redridge.txt"                  # RRG - A04
A05 = "countries/Northshire.txt"                # NTS - A05
A06 = "countries/Menethil.txt"                  # MTH - A06
A07 = "countries/Defias Brotherhood.txt"        # DFB - A07
A08 = "countries/Lordaeron.txt"                 # LOR - A08
A09 = "countries/Hearthglen.txt"                # HGN - A09
A10 = "countries/Stratholme.txt"                # STH - A10
A11 = "countries/Hillsbrad.txt"                 # HIB - A11
A12 = "countries/Gilneas.txt"                   # GIL - A12
A13 = "countries/Shadowfang.txt"                # SFG - A13
A14 = "countries/Kul Tiras.txt"                 # KTS - A14
A15 = "countries/Bloodsail.txt"                 # BSL - A15
A16 = "countries/Stromgarde.txt"                # SGE - A16
A17 = "countries/Alterac.txt"                   # ATC - A17
A18 = "countries/Dalaran.txt"                   # DAL - A18
A19 = "countries/Southsea Pirates.txt"          # SSP - A19
A20 = "countries/Northsea Freebooters.txt"      # NSF - A20
A21 = "countries/Wastewander.txt"               # WWR - A21
A22 = "countries/The Scarlet Crusade.txt"       # SCS - A22
A23 = "countries/Theramore.txt"                 # TME - A23
A24 = "countries/The Argent Dawn.txt"           # AGD - A24
A25 = "countries/Lordaeron Remnants.txt"        # LAR - A25
A26 = "countries/Syndicate.txt"                 # SYD - A26
A27 = "countries/Ravenholdt.txt"                # RAV - A27
P59 = "countries/Karazhan.txt"                  # KAZ - P59
P61 = "countries/Tirisfal.txt"                  # TIR - P61
P62 = "countries/Tyr's Hand.txt"                # TYR - P62
P72 = "countries/Wintergarde.txt"               # WGE - P72
G50 = "countries/Vandermar.txt"                 # VMR - G50
TOB = "countries/Tol Barad.txt"                 # TOB - F04
SOL = "countries/Sons of Lothar.txt"            # SOL - F14
BTR = "countries/Blackthorn.txt"                # BTR - F16
SVH = "countries/Silver Hand.txt"               # SVH - F17
SOT = "countries/Scarlet Onslaught.txt"         # SOT - SOT
AGC = "countries/Argent Crusade.txt"            # AGC - F19
F27 = "countries/Elwynn Bandits.txt"            # ELW - F27
F28 = "countries/Kurzen.txt"                    # KUZ - F28
F38 = "countries/Valgarde.txt"                  # VLG - F38
F39 = "countries/Nedreck.txt"                   # NED - F39
F40 = "countries/Bloodhill Bandits.txt"         # BHB - F40
F52 = "countries/Pyrewood.txt"                  # PYR - F52
F55 = "countries/Lordaeron Survivors.txt"       # LDS - F55
H06 = "countries/Alliance Vanguard.txt"         # ALV - H06
F58 = "countries/Theramore Deserters.txt"       # TMD - F58
F61 = "countries/Morgans Forces.txt"            # MGF - F61
P19 = "countries/Fray Island.txt"               # FRI - P19
G06 = "countries/Northwatch.txt"                # NWH - G06
G07 = "countries/Marshal Expedition.txt"        # MAE - G07
G11 = "countries/Adventurers.txt"               # ADV - G11
G12 = "countries/Schnottz.txt"                  # SCH - G12
H08 = "countries/Strahnbrad.txt"                # STA - H08
H09 = "countries/Ambermill.txt"                 # AMB - H09
P32 = "countries/Amberpine.txt"                 # AMP - P32
N32 = "countries/Azerothian Remnants.txt"       # AZR - N32
FRE = "countries/Freehold.txt"

# Dwarven
A28 = "countries/Wildhammer.txt"                # - A28
A29 = "countries/Khaz Modan.txt"                # - A29
A30 = "countries/Kingdom of Thaurissan.txt"     # - A30
A31 = "countries/Frostborn.txt"                 # - A31
P56 = "countries/Thorium Brotherhood.txt"       # - P56
F25 = "countries/Iron Summit.txt"               # - F25
F29 = "countries/Nesingwary.txt"                # - F29
F59 = "countries/Bael Modan.txt"                # - F59
P22 = "countries/Aerie Peak.txt"                # - P22
H11 = "countries/Stormpike.txt"                 # - H11
ANM = "countries/Anvilmar.txt"                  # - ANM
THC = "countries/Council of Three Hammers.txt"  # - THC

# Gnomish
A32 = "countries/Gnomeregan.txt"                # - A32
A33 = "countries/Thermaplugg Exiles.txt"        # - A£3
G13 = "countries/Gnomish Expedition.txt"        # - G13

# Orc
A34 = "countries/Shadowmoon.txt"                # - A34
A35 = "countries/Warsong.txt"                   # - A35
A36 = "countries/Shattered Hand.txt"            # - A36
A37 = "countries/Thunderlord.txt"               # - A37
A38 = "countries/Laughing Skull.txt"            # - A38
A39 = "countries/Bonechewer.txt"                # - A39
A40 = "countries/Bleeding Hollow.txt"           # - A40
A41 = "countries/Blackrock.txt"                 # - A41
A42 = "countries/Stormreaver.txt"               # - A42
A43 = "countries/Twilights Hammer.txt"          # - A43
A44 = "countries/Burning Blade.txt"             # - A44
A45 = "countries/Dragonmaw.txt"                 # - A45
A46 = "countries/Frostwolf.txt"                 # - A46
A47 = "countries/MokNathal.txt"                 # - A47
A48 = "countries/Orgrimmar.txt"                 # - A48
A50 = "countries/Thrallmar.txt"                 # - A50
P98 = "countries/Black Tooth Grin.txt"          # - P98
F26 = "countries/Ironmarch.txt"                 # - F26
F48 = "countries/Fel Dragonmaw.txt"             # - F48
H07 = "countries/Horde Expedition.txt"          # - H07
F72 = "countries/Mag'har.txt"                   # - F72
F85 = "countries/Earthen Ring.txt"              # - F85
S17 = "countries/Bleeding Hollow Remnants.txt"  # - S17
W23 = "countries/Burning Blade Remnants.txt"    # - W23
Q57 = "countries/Twilight's Hammer Remnants.txt"    # - Q57

# Ogre
A49 = "countries/Bladespire.txt"            # - A49
A51 = "countries/Boulderfist.txt"           # - A51
