# 1046 - Grizzlepaw Ridge.txt
is_city = yes

owner = P54
controller = P54
add_core = P54

base_tax = 1
base_production = 1
base_manpower = 1

culture = culture_trogg
religion = religion_earth
trade_goods = fur
hre = no

598.1.1 = {
    owner = A40
    controller = A40
    add_core = A40
    culture = culture_bleeding_hollow 
    religion = religion_fel
}

# Beyond the Dark Portal
600.1.1 = {
    owner = A29
    controller = A29
    add_core = A29
    remove_core = A40
    culture = culture_ironforge 
    religion = religion_church_of_the_light
}

# Cataclysm
631.1.1 = {
    owner = A30
    controller = A30
    add_core = A30
    culture = culture_dark_iron 
    religion = religion_arcane
}

# Mists of Pandaria
632.1.1 = {
    owner = A29
    controller = A29
    add_core = A29
    remove_core = A30
    culture = culture_ironforge 
    religion = religion_church_of_the_light
}

#700.1.1 = { owner = S01  controller = S01 add_core = S01 }
