
# The Scarlet Enclave
government = theocracy
add_government_reform = scarlet_crusade_reform
government_rank 	= 2
mercantilism 		= 10
technology_group 	= tech_human
religion			= scarlet_light
primary_culture 	= culture_lordaeron
capital 			= 539
religious_school = crimson_legion

622.1.1 = { 
	religion = scarlet_light

	monarch = { 
		name = "Brigitte" 
		dynasty = "Abbendis" 
		adm = 2
		dip = 2
		mil = 4
 	} 
	heir = { 
		name = "Barean" 
		monarch_name = "Barean" 
		dynasty = "Westwind" 
		claim = 80
		adm = 2
		dip = 4
		mil = 5
		male = yes
		birth_date = 599.12.11
		death_date = 626.12.11
 	} 
	define_general = {
		name = "Ward Landgren"
		shock = 2
		fire = 4
		manuever = 4
		siege = 1
	}
	add_ruler_personality = zealot_personality
	add_ruler_personality = malevolent_personality
	add_ruler_personality = paladin_personality

	add_heir_personality = zealot_personality
	add_heir_personality = cruel_personality
	add_heir_personality = naive_personality
} 
