
is_city = yes

owner = P55
controller = P55
add_core = P55

base_tax = 4
base_production = 4
base_manpower = 4

culture = culture_forest_troll
religion = voodoo

hre = no
trade_goods = grain_silo
 




# Rise of the Lich King
605.1.1 = { 
	add_core = P62
	remove_core = A08
	owner = P62
	controller = P62
	culture = culture_lordaeron
    religion = holy_light
}

# Rise of the Qiraji
622.1.1 = { 
	add_core = A22
	remove_core = P62
	owner = A22
	controller = A22
	religion = scarlet_light 
}

# Wrath of the Lich King
626.1.1 = {
	owner = P13
	controller = P13
	add_core = P13
	remove_core = A08
	remove_core = P62
	culture = culture_death_knight
	religion = forgotten_shadow
	base_tax = 1
	base_manpower = 1
	base_production = 1
}

