
is_city = yes

owner = B96
controller = B96
add_core = B96

base_tax = 4
base_production = 4
base_manpower = 5

culture = culture_jadefire
religion = religion_fel

trade_goods = moonwell
hre = no




618.1.1 = {
remove_core = H02
owner = B96
controller = B96
add_core = B96
culture = culture_jadefire
religion = religion_fel
trade_goods = fel
}


622.1.1 = {
remove_core = B96
owner = B93
controller = B93
add_core = B93
culture = culture_legion_cultist
base_tax = 3
base_manpower = 3
base_production = 3
}
