
is_city = yes

owner = A54
controller = A54
add_core = A54

base_tax = 2
base_production = 2
base_manpower = 3

culture = culture_draenei
religion = light_of_the_naaru

hre = no
trade_goods = arcane


center_of_trade = 1



592.1.1 = {
	add_core = A43
	owner = A43
	controller = A43
	remove_core = A54
	religion = fel
	culture = culture_twilight_cultist
}

617.1.1 = {
	owner = A54
	controller = A54
	add_core = A54
	remove_core = A43
	culture = culture_draenei
	religion = light_of_the_naaru
	base_tax = 6
	base_manpower = 6
	base_production = 6
}

625.1.1 = {
	owner = A93
	controller = A93
	add_core = A93
	culture = culture_blood_elf
	religion = fel
	set_capital = A93
	base_tax = 8
	base_manpower = 8
	base_production = 10
}


