
is_city = yes

owner = A08
controller = A08
add_core = A08

base_tax = 2
base_production = 2
base_manpower = 2

culture = culture_lordaeron
religion = holy_light

hre = no
trade_goods = fur
 




618.1.1 = {
add_core = BTR
controller = BTR
owner = BTR
religion = shadow
remove_core = A08
}

# War of Lordaeron (TFT)
620.7.1 = {
add_core = P52
controller = P52
remove_core = BTR
owner = P52
religion = cult_of_the_damned
culture = culture_scourge
}

# Rise of the Qiraji
622.1.1 = {
controller = A22
owner = A22
add_core = A22
culture = culture_lordaeron
religion = scarlet_light
}

