
is_city = yes

owner = A76
controller = A76
add_core = A76

base_tax = 4
base_production = 4
base_manpower = 4

culture = culture_frost_troll
religion = voodoo

hre = no
trade_goods = army_supplies


598.1.1 = {
    remove_core = A76  
    owner = A40
    controller = A40
    add_core = A40
    add_core = MGR
    culture = culture_ogre 
	religion = primitive
}

# Beyond the Dark Portal
600.1.1 = { 
    owner = MGR
    controller = MGR
    remove_core = A40 
}

# Cataclysm
631.1.1 = { 
    owner = A43
    controller = A43
    add_core = A43
	culture = culture_twilight_cultist
    religion = twilight_cult 
}

