
is_city = yes

owner = B12
controller = B12
add_core = B12
add_core = A08
add_core = A10

base_tax = 1
base_production = 1
base_manpower = 2

culture = culture_gnoll
religion = earth
trade_goods = unknown
hre = no 




592.1.1 = { 
	remove_core = B12
	owner = A08
	controller = A08
	culture = culture_lordaeron
	religion = holy_light 
}

# The Third War
617.1.1 = { 
	add_core = P52
	owner = P52
	controller = P52
	culture = culture_scourge
	religion = cult_of_the_damned 
}

# The Frozen Throne
618.1.1 = { 
	add_core = A62
	owner = A62
	controller = A62
	religion = voodoo
	culture = culture_forest_troll 
	remove_core = A08
	remove_core = A10
}

# Rise of the Qiraji
622.1.1 = { 
	remove_core = A62
	owner = P52
	controller = P52
	religion = cult_of_the_damned
	culture = culture_scourge 
}

# Cataclysm
631.1.1 = { 
	add_core = AGC
	remove_core = P52
	owner = AGC 
	controller = AGC
	culture = culture_lordaeron
	religion = argent_light 
}

