
is_city = yes

owner = A58
controller = A58
add_core = A58
add_core = A90

base_tax = 2
base_production = 2
base_manpower = 2

culture = culture_forest_troll
religion = voodoo

trade_goods = fur
hre = no 




592.1.1 = {
	owner = A90
	controller = A90
	culture = culture_high_elf
	religion = arcane 
}

# The Frozen Throne
618.1.1 = {
	owner = A58
	controller = A58
	culture = culture_forest_troll
	religion = voodoo
        remove_core = A90
}

# The Burning Crusade
625.1.1 = {
	owner = A91
	controller = A91
	add_core = A91
	culture = culture_blood_elf
	religion = arcane
}

