
is_city = yes

owner = A90
controller = A90
add_core = A90
base_tax = 6
base_production = 6
base_manpower = 6

culture = culture_high_elf
religion = arcane

trade_goods = unknown
hre = no
center_of_trade = 3


618.1.1 = {
owner = F21
controller = F21
add_core = F21
culture = culture_scourge
religion = cult_of_the_damned
remove_core = A90
base_tax = 6
base_manpower = 6
base_production = 6
}

# Rise of the Qiraji
622.1.1 = { 
owner = A91
controller = A91
add_core = A91
culture = culture_blood_elf
religion = arcane
remove_core = F21
}

