
is_city = yes
owner = STW
controller = STW
add_core = STW

base_tax = 2
base_production = 2
base_manpower = 2

culture = culture_azerothian
religion = shadow

hre = no
trade_goods = army_supplies


597.1.1 = {
    owner = A45
    controller = A45
    add_core = A45
    culture = culture_orc
    religion = fel
}

# Beyond the Dark Portal
600.1.1 = {
    owner = B15
    controller = B15
    add_core = B15
    
    culture = culture_azerothian
    religion = holy_light 
    remove_core = A45 
}

# The Third War
617.1.1 = { 
    owner = STW
    controller = STW
	add_core = STW
}

