
is_city = yes

owner = A90
controller = A90
add_core = A90

base_tax = 4
base_production = 4
base_manpower = 4

culture = culture_high_elf
religion = arcane

hre = no
trade_goods = arcane





618.1.1 = {
owner = F21
controller = F21
add_core = F21
culture = culture_scourge
religion = cult_of_the_damned
remove_core = A90 
}

# The Burning Crusade
625.1.1 = { 
owner = G18
controller = G18
add_core = G18
add_core = A91
culture = culture_felblood_elf
religion = fel
}

# Wrath of the Lich King
626.1.1 = { 
owner = A91
controller = A91
remove_core = G18
culture = culture_blood_elf
religion = light_of_the_sunwell
}

