
is_city = yes

owner = RRG
controller = RRG
add_core = RRG

base_tax = 3
base_production = 3
base_manpower = 3

culture = culture_azerothian
religion = holy_light

hre = no
trade_goods = cloth





597.1.1 = { 
owner = P98
controller = P98
add_core = P98
culture = culture_orc
religion = fel 
}

# Beyond the Dark Portal
600.1.1 = { 
owner = RRG
controller = RRG
remove_core = P98
culture = culture_azerothian
religion = holy_light 
}

# Rise of the Qiraji
622.1.1 = { 
owner = B17
controller = B17
add_core = B17
culture = culture_gnoll

}

