is_city = yes
owner = A02
controller = A02
add_core = A02

base_tax = 1
base_production = 3
base_manpower = 1

culture = culture_azerothian
religion = religion_church_of_the_light

trade_goods = stone
hre = no

597.1.1 = { 
    owner = A42
    controller = A42
    add_core = A42
    
    culture = culture_stormreaver
    religion = religion_fel 
}

# Beyond the Dark Portal
600.1.1 = {
    owner = A02
    controller = A02
    add_core = A02
    
    culture = culture_azerothian
    religion = religion_church_of_the_light
}
# Rise of the Qiraji
622.1.1 = {
    owner = B15
    controller = B15
    add_core = B15
    
    culture = culture_riverpaw
    religion = religion_earth
}



