
is_city = yes

owner = P55
controller = P55
add_core = P55

base_tax = 1
base_production = 1
base_manpower = 1

culture = culture_lordaeron
religion = holy_light

hre = no
trade_goods = grain
 



# Rise of the Lich King
605.1.1 = { 
	add_core = P62
	remove_core = A08
	owner = P62
	controller = P62
}

# Rise of the Qiraji
622.1.1 = { 
	add_core = A22
	remove_core = P62
	owner = A22
	controller = A22
	religion = scarlet_light
	base_manpower = 2
}

# Cataclysm
631.1.1 = { 
	add_core = P12
	remove_core = A08
	remove_core = P62
	owner = P12
	controller = P12
	culture = culture_cultist
	religion = cult_of_the_damned
}

