
is_city = yes

owner = A16
controller = A16
add_core = A16
add_core = TOB

base_tax = 4
base_production = 4
base_manpower = 4

culture = culture_arathi
religion = religion_church_of_the_light

trade_goods = army_supplies
hre = no 




598.1.1 = { 
owner = A63
controller = A63
add_core = A63
culture = culture_firetree
religion = religion_loa
}

# Beyond the Dark Portal
600.1.1 = {
owner = A14
controller = A14
add_core = A14
add_core = TOB
remove_core = A63
remove_core = A16
culture = culture_kul_tiran
religion = religion_church_of_the_light 
}

# Cataclysm
631.1.1 = { 
remove_core = A14
owner = F37
controller = F37
add_core = F37
}

