
is_city = yes

owner = A08
controller = A08
add_core = A08

base_tax = 3
base_production = 3
base_manpower = 2

culture = culture_lordaeron
religion = holy_light

trade_goods = grain
hre = no 





597.1.1 = { 
	owner = N32
	controller = N32
	add_core = N32
	culture = culture_azerothian
	religion = holy_light
}

# Beyond the Dark Portal
600.1.1 = { 
owner = A08
controller = A08
remove_core = STW
culture = culture_lordaeron 
}

# The Frozen Throne
618.1.1 = { 
owner = A11
controller = A11
add_core = A11
base_tax = 4
base_manpower = 3
base_production = 4
remove_core = A08
}

# Cataclysm
631.1.1 = { 
owner = P14
controller = P14
add_core = P14
culture = culture_forsaken
religion = forgotten_shadow
base_tax = 1
base_manpower = 2
base_production = 2
capital = "Sludgeguard Tower" 
}

