
is_city = yes

owner = A55
controller = A55
add_core = A55

base_tax = 3
base_production = 3
base_manpower = 3

culture = culture_draenei
religion = light_of_the_naaru

hre = no
trade_goods = artifacts






592.1.1 = {
   owner = A34
    controller = A34
    add_core = A34
    remove_core = A55
    culture = culture_orc
    religion = shamanism
}

#Outland
601.1.1 = {
    owner = B89
    controller = B89
    add_core =  B89
    culture = culture_fel_orc
}

# The Frozen Throne
618.1.1 = {
    owner = A57
    controller = A57
    add_core =  A57
    remove_core = B89
    culture = culture_broken
    religion = shamanism
}


