
is_city = yes

owner = B13
controller = B13
add_core = B13

base_tax = 2
base_production = 2
base_manpower = 2

culture = culture_gnoll
religion = earth
hre = no
trade_goods = fossils





598.1.1 = { 
owner = A40
controller = A40
add_core = A40
culture = culture_orc 
religion = fel 
}

# Beyond the Dark Portal
600.1.1 = { 
owner = B13
controller = B13
remove_core = A40
culture = culture_gnoll
religion = earth}

# Cataclysm
631.1.1 = { 
owner = A29
controller = A29
add_core = A29
culture = culture_ironforge
religion = holy_light 
}

